id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
0,24782,36,2,9,2807,gelu_new,0.465306267,0.323172058,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.69804,1959.491098,1367.803166,7.580440075,26:48.9
1,29917,43,7,18,301,gelu,0.304325119,0.996837527,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.868176,2285.670448,4270.034674,7.734414673,52:36.7
2,28349,27,1,14,108,gelu,0.249364384,0.220066441,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.408711,375.5338083,153.4847983,5.928348503,21:41.9
3,9619,5,8,3,422,gelu,0.184472473,0.719148235,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.568547,1780.185732,1012.119257,7.484472982,13:29.4
4,28248,25,1,16,1903,silu,0.234663592,0.260524618,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.60415,599.2478281,362.0355754,6.395675249,49:53.1
5,13036,83,10,18,24,gelu,0.493731065,0.158849998,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,4.340631,2295.430269,9963.615784,7.738675586,32:00.2
6,17774,56,4,11,1575,relu,0.740415414,0.608032113,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.264196,2294.422227,2900.599402,7.738236338,59:33.4
7,5393,15,4,14,755,gelu_new,0.304606595,0.853279469,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.895212,353.8527695,316.7732455,5.868880921,28:04.8
8,30072,17,6,11,237,silu,0.458222606,0.457001172,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.253219,456.9124499,572.6113636,6.124491797,59:10.8
9,3657,11,2,10,1240,relu,0.531617351,0.604581639,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.413852,679.0678616,281.0335927,6.520721066,44:26.9
10,18785,20,3,7,198,gelu_new,0.128818607,0.101197983,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.624246,297.3367167,185.6112561,5.694865223,03:12.7
11,29209,51,2,3,979,gelu,0.403991521,0.793115615,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.442338,555.2318801,245.6001594,6.319385828,06:31.0
12,26536,18,1,11,624,relu,0.371738099,0.241068571,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.374918,486.2265225,182.2950754,6.186674611,31:45.1
13,29103,23,4,9,1403,gelu,0.820501196,0.231177173,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.022381,2363.602734,2416.502527,7.767942316,11:24.4
